Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
525.3638253638254,-194.58567678570358,71342
525.3513513513514,-195.03763278408286,71665
525.3388773388773,-195.48961024557985,71828
525.3264033264034,-195.9416091717168,72033
525.3139293139293,-196.3936295640333,71917
525.3014553014553,-196.84567142404936,71944
525.2889812889813,-197.2977347533024,72060
525.2765072765072,-197.74981955331899,71825
525.2640332640333,-198.20192582562348,72089
525.2515592515592,-198.6540535717533,72090
525.2390852390853,-199.10620279323282,72248
525.2266112266112,-199.5583734915973,71857
525.2141372141372,-200.0105656683733,71769
525.2016632016632,-200.46277932508949,71948
525.1891891891892,-200.91501446328328,71694
525.1767151767152,-201.36727108447695,71879
525.1642411642412,-201.81954919021,71870
525.1517671517671,-202.27184878200688,71953
525.1392931392932,-202.72416986139842,72108
525.1268191268191,-203.17651242992207,72108
525.1143451143452,-203.6288764891,72093
525.1018711018711,-204.0812620404762,72024
525.089397089397,-204.53366908557277,71924
525.0769230769231,-204.98609762592068,71941
525.064449064449,-205.4385476630595,72141
525.0519750519751,-205.8910191985136,71950
525.039501039501,-206.34351223382254,72059
525.027027027027,-206.79602677051503,72055
525.014553014553,-207.24856281011984,72217
525.002079002079,-207.7011203541787,72187
524.989604989605,-208.15369940421377,72269
524.977130977131,-208.60629996176903,72119
524.9646569646569,-209.058922028371,72341
524.952182952183,-209.51156560555057,72391
524.9397089397089,-209.9642306948495,72071
524.927234927235,-210.41691729779214,72314
524.9147609147609,-210.86962541592243,72180
524.902286902287,-211.32235505076255,72192
524.8898128898129,-211.77510620385863,72319
524.8773388773388,-212.22787887673718,72466
524.8648648648649,-212.68067307093128,72156
524.8523908523908,-213.13348878798266,72447
524.8399168399169,-213.5863260294157,72403
524.8274428274428,-214.03918479677648,72275
524.8149688149688,-214.4920650915959,72459
524.8024948024948,-214.9449669154005,72304
524.7900207900208,-215.39789026973855,72394
524.7775467775468,-215.85083515613658,72353
524.7650727650728,-216.30380157613635,72270
524.7525987525987,-216.75678953126874,72347
524.7401247401248,-217.20979902306678,72148
524.7276507276507,-217.6628300530766,72440
524.7151767151768,-218.11588262282254,72373
