U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19505.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19506.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19507.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19508.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.8 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19509.9 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.0 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.1 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.2 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.3 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.4 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.5 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.6 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.7 
4.6V;0.0V;0.362A;0.000A;100W;0W;N/A;N/A;N/A;Off;Off;None;19510.8 
