Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59800
525.358038,-194.79536075947718,59919
525.345554,-195.24768859823178,60017
525.33307,-195.70003793519538,60115
525.320586,-196.15240877190544,60068
525.308102,-196.60480110989712,60078
525.295618,-197.0572149506927,60119
525.283134,-197.50965029583173,60158
525.27065,-197.96210714684943,60053
525.258166,-198.41458550527886,60150
525.245682,-198.86708537264877,60043
525.233198,-199.31960675049436,60089
525.220714,-199.77214964035304,60116
525.20823,-200.22471404376003,60052
525.195746,-200.6772999622419,60132
525.183262,-201.12990739733607,60085
525.170778,-201.58253635057773,60054
525.158294,-202.03518682350864,60100
525.14581,-202.48785881765102,60102
525.133326,-202.9405523345444,60104
525.120842,-203.39326737572623,60100
525.108358,-203.8460039427339,60074
525.095874,-204.29876203709608,60054
525.08339,-204.75154166035023,60032
525.070906,-205.20434281403158,60089
525.058422,-205.657165499684,60113
525.045938,-206.1100097188319,60051
525.033454,-206.5628754730148,60076
525.02097,-207.01576276377017,60118
525.008486,-207.4686715926397,60097
524.996002,-207.92160196115,60127
524.983518,-208.37455387084057,60078
524.971034,-208.82752732325102,60003
524.95855,-209.2805223199209,60107
524.946066,-209.73353886238107,60100
524.933582,-210.186576952169,60132
524.921098,-210.6396365908242,60149
524.908614,-211.09271777988843,60107
524.89613,-211.5458205208926,60198
524.883646,-211.99894481537407,60040
524.871162,-212.45209066487462,60113
524.858678,-212.90525807093158,60093
524.846194,-213.35844703508894,60098
524.83371,-213.81165755887318,60120
524.821226,-214.26488964382827,60080
524.808742,-214.7181432914937,60070
524.796258,-215.1714185034113,60050
524.783774,-215.62471528111405,60055
524.77129,-216.07803362614374,60083
524.758806,-216.53137354003772,60119
524.746322,-216.9847350243421,60071
524.733838,-217.43811808058777,60060
524.721354,-217.8915227103186,59979
524.70887,-218.3449489150742,60079
524.696386,-218.79839669639847,60071
524.683902,-219.2518660558223,60134
524.671418,-219.7053569948917,60000
524.658934,-220.15886951514634,60023
524.64645,-220.61240361813222,60027
524.633966,-221.06595930538026,60080
524.621482,-221.51953657843652,60134
524.608998,-221.9731354388406,60141
524.596514,-222.4267558881385,60050
524.58403,-222.88039792786336,60083
524.571546,-223.3340615595612,60088
524.559062,-223.78774678477382,60102
524.546578,-224.24145360504505,60016
524.534094,-224.69518202191014,60067
524.52161,-225.14893203691736,60046
524.509126,-225.6027036516041,60030
524.496642,-226.05649686752074,59967
524.484158,-226.51031168620037,60003
524.471674,-226.96414810918904,60104
524.45919,-227.41800613802852,60104
524.446706,-227.87188577426917,60099
524.434222,-228.3257870194441,60095
524.421738,-228.77970987510153,60059
524.409254,-229.23365434278105,60119
524.39677,-229.68762042403517,60098
524.384286,-230.14160812039702,60065
524.371802,-230.59561743341484,60100
524.359318,-231.04964836463031,60105
524.346834,-231.50370091559606,60121
524.33435,-231.9577750878451,60027
524.321866,-232.41187088292793,60121
524.309382,-232.86598830238617,60142
524.296898,-233.32012734776816,60157
524.284414,-233.7742880206199,60150
524.27193,-234.22847032247884,60070
524.259446,-234.68267425489535,59955
524.246962,-235.13689981941337,60185
524.234478,-235.59114701758327,60081
524.221994,-236.04541585094248,60016
524.20951,-236.49970632103924,60064
524.197026,-236.95401842942178,60038
524.184542,-237.40835217763833,60037
524.172058,-237.86270756722848,60070
524.159574,-238.31708459974044,60073
524.14709,-238.7714832767225,60136
524.134606,-239.22590359972503,60072
524.122122,-239.68034557028543,60087
524.109638,-240.13480918995845,60182
524.097154,-240.58929446028583,60140
524.08467,-241.04380138282232,60089
524.072186,-241.49832995910532,60048
524.059702,-241.9528801906874,60149
524.047218,-242.4074520791168,60091
