Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59765
525.358038,-194.79536075947718,59882
525.345554,-195.24768859823178,59994
525.33307,-195.70003793519538,59945
525.320586,-196.15240877190544,60062
525.308102,-196.60480110989712,60111
525.295618,-197.0572149506927,60044
525.283134,-197.50965029583173,60111
525.27065,-197.96210714684943,60107
525.258166,-198.41458550527886,60074
525.245682,-198.86708537264877,60071
525.233198,-199.31960675049436,60051
525.220714,-199.77214964035304,60074
525.20823,-200.22471404376003,60043
525.195746,-200.6772999622419,60075
525.183262,-201.12990739733607,60007
525.170778,-201.58253635057773,60028
525.158294,-202.03518682350864,60133
525.14581,-202.48785881765102,60066
525.133326,-202.9405523345444,60100
525.120842,-203.39326737572623,60031
525.108358,-203.8460039427339,59957
525.095874,-204.29876203709608,60040
525.08339,-204.75154166035023,60045
525.070906,-205.20434281403158,60072
525.058422,-205.657165499684,60115
525.045938,-206.1100097188319,60018
525.033454,-206.5628754730148,59985
525.02097,-207.01576276377017,60011
525.008486,-207.4686715926397,60022
524.996002,-207.92160196115,60000
524.983518,-208.37455387084057,60067
524.971034,-208.82752732325102,60042
524.95855,-209.2805223199209,60064
524.946066,-209.73353886238107,60019
524.933582,-210.186576952169,60039
524.921098,-210.6396365908242,60025
524.908614,-211.09271777988843,60043
524.89613,-211.5458205208926,60051
524.883646,-211.99894481537407,60056
524.871162,-212.45209066487462,59999
524.858678,-212.90525807093158,59962
524.846194,-213.35844703508894,60030
524.83371,-213.81165755887318,60043
524.821226,-214.26488964382827,59980
524.808742,-214.7181432914937,60064
524.796258,-215.1714185034113,60092
524.783774,-215.62471528111405,60107
524.77129,-216.07803362614374,60050
524.758806,-216.53137354003772,60061
524.746322,-216.9847350243421,60020
524.733838,-217.43811808058777,60011
524.721354,-217.8915227103186,60008
524.70887,-218.3449489150742,59936
524.696386,-218.79839669639847,60030
524.683902,-219.2518660558223,59919
524.671418,-219.7053569948917,60028
524.658934,-220.15886951514634,60049
524.64645,-220.61240361813222,60044
524.633966,-221.06595930538026,60021
524.621482,-221.51953657843652,59992
524.608998,-221.9731354388406,60061
524.596514,-222.4267558881385,60097
524.58403,-222.88039792786336,60001
524.571546,-223.3340615595612,60050
524.559062,-223.78774678477382,60050
524.546578,-224.24145360504505,60020
524.534094,-224.69518202191014,60059
524.52161,-225.14893203691736,60071
524.509126,-225.6027036516041,59977
524.496642,-226.05649686752074,59920
524.484158,-226.51031168620037,60060
524.471674,-226.96414810918904,59951
524.45919,-227.41800613802852,59953
524.446706,-227.87188577426917,59960
524.434222,-228.3257870194441,60063
524.421738,-228.77970987510153,60047
524.409254,-229.23365434278105,60074
524.39677,-229.68762042403517,60037
524.384286,-230.14160812039702,60048
524.371802,-230.59561743341484,60024
524.359318,-231.04964836463031,60029
524.346834,-231.50370091559606,60109
524.33435,-231.9577750878451,59968
524.321866,-232.41187088292793,59997
524.309382,-232.86598830238617,59980
524.296898,-233.32012734776816,59999
524.284414,-233.7742880206199,60075
524.27193,-234.22847032247884,60116
524.259446,-234.68267425489535,59994
524.246962,-235.13689981941337,60079
524.234478,-235.59114701758327,60030
524.221994,-236.04541585094248,60068
524.20951,-236.49970632103924,59964
524.197026,-236.95401842942178,60071
524.184542,-237.40835217763833,60180
524.172058,-237.86270756722848,59981
524.159574,-238.31708459974044,60054
524.14709,-238.7714832767225,60085
524.134606,-239.22590359972503,60027
524.122122,-239.68034557028543,60031
524.109638,-240.13480918995845,60096
524.097154,-240.58929446028583,60054
524.08467,-241.04380138282232,59988
524.072186,-241.49832995910532,59956
524.059702,-241.9528801906874,60094
524.047218,-242.4074520791168,60046
524.034734,-242.86204562594392,60049
524.02225,-243.31666083271054,60008
524.009766,-243.771297700967,59954
523.997282,-244.2259562322616,59935
523.984798,-244.6806364281469,60089
523.972314,-245.13533829016242,60057
523.95983,-245.59006181986516,60117
523.947346,-246.04480701879896,59990
523.934862,-246.4995738885186,60054
523.922378,-246.95436243056577,60120
523.909894,-247.40917264649312,59990
523.89741,-247.8640045378488,60042
523.884926,-248.31885810618982,60083
523.872442,-248.7737333530535,60061
523.859958,-249.22863027999898,59983
523.847474,-249.68354888857013,59971
523.83499,-250.13848918032602,60022
523.822506,-250.59345115680628,59987
523.810022,-251.04843481956775,60045
523.797538,-251.5034401701587,60058
523.785054,-251.9584672101339,60050
523.77257,-252.41351594103722,59985
523.760086,-252.86858636442344,60059
523.747602,-253.3236784818451,59999
523.735118,-253.77879229485046,60068
523.722634,-254.23392780499861,60031
523.71015,-254.6890850138291,60123
523.697666,-255.14426392290102,59994
523.685182,-255.59946453376477,60070
523.672698,-256.0546868479773,60044
523.660214,-256.50993086708246,59959
523.64773,-256.96519659263504,60047
523.635246,-257.42048402618974,60066
523.622762,-257.8757931693035,60035
523.610278,-258.3311240235181,59984
523.597794,-258.7864765903947,60007
523.58531,-259.2418508714817,59963
523.572826,-259.6972468683423,59912
523.560342,-260.15266458251625,60041
523.547858,-260.6081040155625,60101
523.535374,-261.0635651690359,60064
523.52289,-261.51904804449543,60062
523.510406,-261.97455264348514,60073
523.497922,-262.43007896756177,60124
523.485438,-262.88562701828454,60095
523.472954,-263.34119679720595,60030
523.46047,-263.7967883058765,60111
523.447986,-264.25240154585515,60139
523.435502,-264.70803651869454,60092
523.423018,-265.16369322595375,59972
523.410534,-265.619371669181,60063
523.39805,-266.0750718499376,60063
523.385566,-266.53079376977394,60065
523.373082,-266.98653743025557,60000
523.360598,-267.4423028329264,59962
523.348114,-267.8980899793455,60101
523.33563,-268.35389887107203,59910
523.323146,-268.809729509665,60058
523.310662,-269.26558189667264,60011
523.298178,-269.7214560336541,60051
523.285694,-270.1773519221706,60060
523.27321,-270.6332695637768,60059
523.260726,-271.0892089600255,60054
523.248242,-271.5451701124777,60054
523.235758,-272.0011530226883,60026
523.223274,-272.45715769222284,60028
523.21079,-272.91318412262734,60027
523.198306,-273.3692323154632,60046
523.185822,-273.8253022722893,60013
523.173338,-274.28139399466926,59982
523.160854,-274.73750748415335,60093
523.14837,-275.19364274230077,60041
523.135886,-275.6497997706705,59976
523.123402,-276.10597857082377,60071
523.110918,-276.56217914432193,60054
523.098434,-277.0184014927153,60072
523.08595,-277.47464561756743,59978
523.073466,-277.9309115204373,60002
523.060982,-278.38719920288827,60077
523.048498,-278.84350866647304,60070
523.036014,-279.2998399127528,59968
523.02353,-279.75619294328885,60021
523.011046,-280.21256775964673,60043
522.998562,-280.6689643633747,59993
522.986078,-281.12538275604055,60090
522.973594,-281.5818229392033,60100
522.96111,-282.03828491442636,60051
522.948626,-282.4947686832645,59974
522.936142,-282.951274247279,60014
522.923658,-283.4078016080354,60056
522.911174,-283.8643507670972,60068
522.89869,-284.32092172601693,59981
522.886206,-284.77751448636013,60025
522.873722,-285.23412904968814,60041
522.861238,-285.69076541756647,60036
522.848754,-286.1474235915499,60091
522.83627,-286.6041035732062,59924
522.823786,-287.0608053640923,60067
522.811302,-287.5175289657802,60019
522.798818,-287.9742743798204,60028
522.786334,-288.4310416077828,60032
522.77385,-288.8878306512286,60037
522.761366,-289.34464151172347,59956
522.748882,-289.80147419082215,60077
522.736398,-290.2583286900945,59968
522.723914,-290.715205011104,60085
522.71143,-291.17210315541405,59996
522.698946,-291.62902312458584,60053
522.686462,-292.0859649201829,59964
522.673978,-292.54292854377076,59967
522.661494,-292.99991399691714,59975
522.64901,-293.45692128117906,60037
522.636526,-293.91395039812414,59979
522.624042,-294.3710013493181,60200
522.611558,-294.8280741363286,60034
522.599074,-295.2851687607126,60020
522.58659,-295.74228522404,60028
522.574106,-296.1994235278743,60077
522.5616219999999,-296.65658367378524,60137
