Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59802
525.358038,-194.79536075947718,59810
525.345554,-195.24768859823178,59831
525.33307,-195.70003793519538,60007
525.320586,-196.15240877190544,59977
525.308102,-196.60480110989712,60022
525.295618,-197.0572149506927,59975
525.283134,-197.50965029583173,60100
525.27065,-197.96210714684943,60023
525.258166,-198.41458550527886,60012
525.245682,-198.86708537264877,59948
525.233198,-199.31960675049436,60006
525.220714,-199.77214964035304,60085
525.20823,-200.22471404376003,59982
525.195746,-200.6772999622419,59997
525.183262,-201.12990739733607,60036
525.170778,-201.58253635057773,59938
525.158294,-202.03518682350864,60018
525.14581,-202.48785881765102,60043
525.133326,-202.9405523345444,59954
525.120842,-203.39326737572623,60041
525.108358,-203.8460039427339,59963
525.095874,-204.29876203709608,60045
525.08339,-204.75154166035023,59925
525.070906,-205.20434281403158,60054
525.058422,-205.657165499684,60002
525.045938,-206.1100097188319,60020
525.033454,-206.5628754730148,59941
525.02097,-207.01576276377017,59957
525.008486,-207.4686715926397,59941
524.996002,-207.92160196115,60028
524.983518,-208.37455387084057,59986
524.971034,-208.82752732325102,59969
524.95855,-209.2805223199209,59984
524.946066,-209.73353886238107,59998
524.933582,-210.186576952169,59994
524.921098,-210.6396365908242,60063
524.908614,-211.09271777988843,60016
524.89613,-211.5458205208926,60014
524.883646,-211.99894481537407,60000
524.871162,-212.45209066487462,59996
524.858678,-212.90525807093158,60057
524.846194,-213.35844703508894,60056
524.83371,-213.81165755887318,60030
524.821226,-214.26488964382827,59948
524.808742,-214.7181432914937,59981
524.796258,-215.1714185034113,59900
524.783774,-215.62471528111405,60025
524.77129,-216.07803362614374,60019
524.758806,-216.53137354003772,60017
524.746322,-216.9847350243421,59981
524.733838,-217.43811808058777,59986
524.721354,-217.8915227103186,60061
524.70887,-218.3449489150742,60026
524.696386,-218.79839669639847,59979
524.683902,-219.2518660558223,59962
524.671418,-219.7053569948917,59922
524.658934,-220.15886951514634,60023
524.64645,-220.61240361813222,60002
524.633966,-221.06595930538026,59931
524.621482,-221.51953657843652,60000
524.608998,-221.9731354388406,60062
524.596514,-222.4267558881385,59993
524.58403,-222.88039792786336,59971
524.571546,-223.3340615595612,59974
524.559062,-223.78774678477382,60049
524.546578,-224.24145360504505,59932
524.534094,-224.69518202191014,60045
524.52161,-225.14893203691736,59958
524.509126,-225.6027036516041,60001
524.496642,-226.05649686752074,60021
524.484158,-226.51031168620037,59987
524.471674,-226.96414810918904,60090
524.45919,-227.41800613802852,59996
524.446706,-227.87188577426917,60071
524.434222,-228.3257870194441,59951
524.421738,-228.77970987510153,60046
524.409254,-229.23365434278105,59921
524.39677,-229.68762042403517,59951
524.384286,-230.14160812039702,60069
524.371802,-230.59561743341484,60015
524.359318,-231.04964836463031,59998
524.346834,-231.50370091559606,60069
524.33435,-231.9577750878451,59993
524.321866,-232.41187088292793,60039
524.309382,-232.86598830238617,59954
524.296898,-233.32012734776816,60052
524.284414,-233.7742880206199,59952
524.27193,-234.22847032247884,60055
524.259446,-234.68267425489535,60028
524.246962,-235.13689981941337,59962
524.234478,-235.59114701758327,59997
524.221994,-236.04541585094248,60046
524.20951,-236.49970632103924,59950
524.197026,-236.95401842942178,60029
524.184542,-237.40835217763833,60027
524.172058,-237.86270756722848,60042
524.159574,-238.31708459974044,60050
524.14709,-238.7714832767225,60034
524.134606,-239.22590359972503,60041
524.122122,-239.68034557028543,60056
524.109638,-240.13480918995845,60008
524.097154,-240.58929446028583,60000
524.08467,-241.04380138282232,59933
524.072186,-241.49832995910532,60013
524.059702,-241.9528801906874,60023
524.047218,-242.4074520791168,59950
524.034734,-242.86204562594392,59971
524.02225,-243.31666083271054,60019
524.009766,-243.771297700967,59964
523.997282,-244.2259562322616,60056
523.984798,-244.6806364281469,59977
523.972314,-245.13533829016242,59957
523.95983,-245.59006181986516,59972
523.947346,-246.04480701879896,60023
523.934862,-246.4995738885186,59964
523.922378,-246.95436243056577,59967
523.909894,-247.40917264649312,59957
523.89741,-247.8640045378488,59979
523.884926,-248.31885810618982,59997
523.872442,-248.7737333530535,60025
523.859958,-249.22863027999898,59997
523.847474,-249.68354888857013,59987
523.83499,-250.13848918032602,59928
523.822506,-250.59345115680628,60002
523.810022,-251.04843481956775,60016
523.797538,-251.5034401701587,60034
523.785054,-251.9584672101339,60015
523.77257,-252.41351594103722,60006
523.760086,-252.86858636442344,60020
523.747602,-253.3236784818451,60013
523.735118,-253.77879229485046,59996
523.722634,-254.23392780499861,59981
523.71015,-254.6890850138291,59953
523.697666,-255.14426392290102,59997
523.685182,-255.59946453376477,59964
523.672698,-256.0546868479773,59993
523.660214,-256.50993086708246,59998
523.64773,-256.96519659263504,59991
523.635246,-257.42048402618974,60090
523.622762,-257.8757931693035,60016
523.610278,-258.3311240235181,59949
523.597794,-258.7864765903947,60039
523.58531,-259.2418508714817,60033
523.572826,-259.6972468683423,59905
523.560342,-260.15266458251625,60056
523.547858,-260.6081040155625,60007
523.535374,-261.0635651690359,59942
523.52289,-261.51904804449543,60063
523.510406,-261.97455264348514,59985
523.497922,-262.43007896756177,60063
523.485438,-262.88562701828454,60015
523.472954,-263.34119679720595,60093
523.46047,-263.7967883058765,60073
523.447986,-264.25240154585515,60000
523.435502,-264.70803651869454,60005
523.423018,-265.16369322595375,60025
523.410534,-265.619371669181,60020
523.39805,-266.0750718499376,60001
523.385566,-266.53079376977394,59984
523.373082,-266.98653743025557,60022
523.360598,-267.4423028329264,59979
523.348114,-267.8980899793455,59945
523.33563,-268.35389887107203,60113
523.323146,-268.809729509665,59983
523.310662,-269.26558189667264,60054
523.298178,-269.7214560336541,59955
523.285694,-270.1773519221706,60043
523.27321,-270.6332695637768,60051
523.260726,-271.0892089600255,60026
523.248242,-271.5451701124777,60028
523.235758,-272.0011530226883,59972
523.223274,-272.45715769222284,59989
523.21079,-272.91318412262734,59959
523.198306,-273.3692323154632,60074
523.185822,-273.8253022722893,60027
523.173338,-274.28139399466926,59923
523.160854,-274.73750748415335,60052
523.14837,-275.19364274230077,60018
523.135886,-275.6497997706705,60019
523.123402,-276.10597857082377,59990
523.110918,-276.56217914432193,60034
523.098434,-277.0184014927153,60004
523.08595,-277.47464561756743,59980
523.073466,-277.9309115204373,59956
523.060982,-278.38719920288827,60005
523.048498,-278.84350866647304,59951
523.036014,-279.2998399127528,60072
523.02353,-279.75619294328885,59923
523.011046,-280.21256775964673,59983
522.998562,-280.6689643633747,60078
522.986078,-281.12538275604055,60024
522.973594,-281.5818229392033,59993
522.96111,-282.03828491442636,59993
522.948626,-282.4947686832645,60049
522.936142,-282.951274247279,60034
522.923658,-283.4078016080354,60046
522.911174,-283.8643507670972,60001
522.89869,-284.32092172601693,59968
522.886206,-284.77751448636013,60020
522.873722,-285.23412904968814,59966
522.861238,-285.69076541756647,60001
522.848754,-286.1474235915499,59979
522.83627,-286.6041035732062,59942
522.823786,-287.0608053640923,59943
522.811302,-287.5175289657802,60011
522.798818,-287.9742743798204,60056
522.786334,-288.4310416077828,59920
522.77385,-288.8878306512286,60060
522.761366,-289.34464151172347,59989
522.748882,-289.80147419082215,59911
522.736398,-290.2583286900945,60015
522.723914,-290.715205011104,60027
522.71143,-291.17210315541405,60034
522.698946,-291.62902312458584,59983
522.686462,-292.0859649201829,60023
522.673978,-292.54292854377076,59978
522.661494,-292.99991399691714,59962
522.64901,-293.45692128117906,59933
522.636526,-293.91395039812414,60026
522.624042,-294.3710013493181,60000
522.611558,-294.8280741363286,59989
522.599074,-295.2851687607126,59942
522.58659,-295.74228522404,60011
522.574106,-296.1994235278743,59971
522.5616219999999,-296.65658367378524,59970
522.549138,-297.1137656633321,60037
522.536654,-297.57096949808255,59947
522.52417,-298.02819517960216,59934
522.511686,-298.48544270945877,59972
522.499202,-298.9427120892222,60038
522.486718,-299.40000332044724,60067
522.474234,-299.8573164047082,59980
522.46175,-300.3146513435705,60056
522.449266,-300.7720081386043,60023
522.436782,-301.22938679136854,60016
522.424298,-301.68678730343316,60013
522.411814,-302.1442096763681,60021
522.39933,-302.60165391174115,59989
522.386846,-303.0591200111157,60036
522.374362,-303.51660797605945,59946
522.361878,-303.97411780814025,59943
522.349394,-304.43164950893447,60016
522.33691,-304.88920307999683,60030
522.324426,-305.34677852290173,60050
522.311942,-305.80437583921673,59983
522.299458,-306.2619950305163,60072
522.286974,-306.71963609835933,59985
522.27449,-307.1772990443202,60014
522.262006,-307.63498386996446,60007
522.249522,-308.0926905768685,60017
522.237038,-308.5504191665915,60035
522.224554,-309.00816964070987,60022
522.21207,-309.4659420007891,60027
522.199586,-309.92373624840354,60028
522.187102,-310.3815523851166,59958
522.174618,-310.8393904125025,59962
522.162134,-311.2972503321312,60042
522.14965,-311.7551321455748,59991
522.137166,-312.21303585439887,60049
522.124682,-312.6709614601733,59997
522.112198,-313.12890896447465,59978
522.099714,-313.58687836887265,60012
522.08723,-314.0448696749352,59935
522.074746,-314.50288288423224,59963
522.062262,-314.9609179983401,59955
522.049778,-315.41897501882875,60041
522.037294,-315.8770539472681,60008
522.02481,-316.3351547852281,59955
522.012326,-316.79327753428515,59999
521.999842,-317.2514221960114,60000
521.987358,-317.70958877197455,60042
521.974874,-318.16777726374886,60010
521.96239,-318.62598767290865,59977
521.949906,-319.08422000102377,59991
521.937422,-319.54247424967286,60018
521.924938,-320.00075042041937,59943
521.912454,-320.45904851484397,60002
521.89997,-320.9173685345167,59979
521.887486,-321.3757104810161,59970
521.875002,-321.8340743559077,60019
521.862518,-322.2924601607681,60009
521.850034,-322.7508678971735,60026
521.83755,-323.20929756669835,60009
521.825066,-323.6677491709125,60033
521.812582,-324.1262227113924,60036
521.800098,-324.58471818971447,60035
521.787614,-325.04323560745513,60029
521.77513,-325.50177496617994,60050
521.762646,-325.96033626746976,60015
521.750162,-326.4189195129009,59989
521.737678,-326.87752470405206,59985
521.725194,-327.33615184248663,59977
521.71271,-327.7948009297897,60063
521.700226,-328.25347196753336,59958
521.687742,-328.7121649573005,60058
521.675258,-329.17087990065465,59964
521.662774,-329.6296167991787,60005
521.65029,-330.0883756544512,59928
521.637806,-330.5471564680486,60052
521.625322,-331.0059592415409,59990
521.612838,-331.4647839765066,59961
521.600354,-331.9236306745287,60050
521.58787,-332.3824993371814,59918
521.575386,-332.841389966039,60009
521.562902,-333.30030256268014,59925
521.550418,-333.75923712868115,59974
521.537934,-334.2181936656272,59939
521.52545,-334.67717217508607,60026
521.512966,-335.13617265863843,59931
521.500482,-335.59519511786516,59996
521.487998,-336.05423955434696,60077
521.475514,-336.5133059696538,59961
521.46303,-336.9723943653707,60020
521.450546,-337.431504743072,59906
521.438062,-337.89063710434493,59935
521.425578,-338.3497914507573,59933
521.413094,-338.80896778389416,60052
521.40061,-339.2681661053341,60033
521.388126,-339.72738641665796,60004
521.375642,-340.18662871944645,60028
521.363158,-340.6458930152738,59914
521.350674,-341.10517930572087,59942
521.33819,-341.56448759237264,59983
521.325706,-342.0238178768078,60053
521.313222,-342.48317016060497,59973
521.300738,-342.9425444453427,60045
521.288254,-343.4019407326039,59994
521.27577,-343.86135902397376,60014
521.263286,-344.3207993210264,59955
521.250802,-344.7802616253449,60001
521.238318,-345.23974593850994,59983
521.225834,-345.69925226211103,60004
521.21335,-346.15878059771586,60012
521.200866,-346.6183309469139,59984
521.188382,-347.0779033112881,60048
521.175898,-347.5374976924213,60035
521.163414,-347.99711409189007,60000
521.15093,-348.4567525112773,60066
521.138446,-348.91641295217016,60004
521.125962,-349.37609541615393,59958
521.113478,-349.8357999048005,59966
521.100994,-350.2955264196995,59867
521.08851,-350.7552749624338,59927
521.076026,-351.21504553458846,60060
521.063542,-351.6748381377421,60011
521.051058,-352.13465277347984,60038
521.038574,-352.59448944338675,59999
521.02609,-353.05434814905016,60024
521.013606,-353.51422889204645,59933
521.001122,-353.9741316739629,60087
520.988638,-354.43405649638464,59995
520.976154,-354.8940033608989,59969
520.96367,-355.35397226908435,60009
520.951186,-355.8139632225282,60003
520.938702,-356.2739762228155,59937
520.926218,-356.73401127153585,59994
520.913734,-357.19406837026554,60064
520.90125,-357.65414752059405,59992
520.888766,-358.1142487241087,60016
520.876282,-358.5743719823988,60030
520.863798,-359.0345172970388,59974
520.851314,-359.49468466962236,59943
520.83883,-359.95487410173456,60063
520.826346,-360.4150855949649,59980
520.813862,-360.875319150892,60039
520.801378,-361.3355747711074,59907
520.788894,-361.79585245719625,60097
520.77641,-362.25615221074577,59987
520.763926,-362.7164740333498,59964
520.751442,-363.17681792658476,59967
520.738958,-363.63718389204223,59996
520.726474,-364.09757193130946,60000
520.71399,-364.5579820459781,59990
520.701506,-365.01841423763113,59989
520.689022,-365.47886850785574,60040
520.676538,-365.93934485824354,59982
520.664054,-366.399843290384,59949
520.65157,-366.8603638058601,59972
520.639086,-367.32090640626336,59963
520.626602,-367.78147109318115,59982
520.614118,-368.24205786820716,60006
520.601634,-368.70266673292434,60038
520.58915,-369.16329768892433,60000
520.576666,-369.6239507377966,60053
520.564182,-370.08462588113264,60071
520.551698,-370.54532312051765,59962
520.539214,-371.00604245754323,59962
520.52673,-371.46678389379883,60071
520.514246,-371.92754743088034,60029
520.501762,-372.38833307036856,59986
520.489278,-372.84914081385944,60036
520.476794,-373.3099706629424,60018
520.46431,-373.7708226192113,59980
520.451826,-374.23169668424896,60039
520.439342,-374.69259285965353,59984
520.426858,-375.15351114701235,60025
520.414374,-375.6144515479234,59945
520.40189,-376.07541406396757,59982
520.389406,-376.53639869674294,59899
520.376922,-376.9974054478411,59993
520.364438,-377.45843431885584,60016
520.351954,-377.91948531137444,59956
520.33947,-378.38055842698844,60038
520.326986,-378.84165366729604,59925
520.314502,-379.30277103388886,60001
520.302018,-379.7639105283541,59963
520.289534,-380.22507215228774,60067
520.27705,-380.68625590728135,60021
520.264566,-381.1474617949353,59947
520.252082,-381.6086898168324,59947
520.239598,-382.06993997457306,59956
520.227114,-382.5312122697467,60011
520.21463,-382.9925067039492,60009
520.202146,-383.45382327877866,59986
520.189662,-383.9151619958224,60002
520.177178,-384.3765228566743,59964
520.164694,-384.83790586293225,60005
520.15221,-385.2993110161967,60023
520.139726,-385.76073831804837,60085
520.127242,-386.22218777009186,59980
520.114758,-386.68365937391667,59984
520.102274,-387.14515313112736,59977
520.08979,-387.60666904330685,59989
520.077306,-388.0682071120576,59986
520.064822,-388.52976733897566,59980
520.052338,-388.99134972565685,59954
520.039854,-389.4529542736928,60001
520.02737,-389.9145809846795,60113
520.014886,-390.3762298602194,60004
520.002402,-390.83790090190627,59942
519.989918,-391.2995941113338,59900
519.977434,-391.7613094900981,60042
519.96495,-392.22304703979927,59933
519.952466,-392.68480676203774,59995
519.939982,-393.1465886584029,59912
519.927498,-393.608392730495,59993
519.915014,-394.07021897991,59982
519.90253,-394.53206740825254,60023
519.890046,-394.99393801711204,60008
519.877562,-395.4558308080888,60046
519.865078,-395.91774578278097,59964
519.852594,-396.37968294279096,60017
519.84011,-396.84164228971036,60038
519.827626,-397.3036238251394,60001
519.815142,-397.7656275506785,60024
519.802658,-398.22765346793005,60080
519.790174,-398.68970157848565,60048
519.77769,-399.15177188394773,59978
519.765206,-399.61386438591444,59941
519.752722,-400.07597908599257,59974
519.740238,-400.53811598576937,59983
519.727754,-401.0002750868516,60061
519.71527,-401.4624563908375,59908
519.702786,-401.92465989933146,60006
519.690302,-402.38688561392746,60056
519.677818,-402.8491335362279,59885
519.665334,-403.3114036678331,59990
519.65285,-403.7736960103475,60074
519.640366,-404.2360105653672,60050
519.627882,-404.69834733449255,59949
519.615398,-405.160706319328,59952
519.602914,-405.6230875214739,60070
519.59043,-406.08549094253493,60024
519.577946,-406.54791658410477,59969
519.565462,-407.01036444779027,59960
519.552978,-407.47283453519384,60078
519.540494,-407.93532684791796,59972
519.52801,-408.3978413875608,60026
519.515526,-408.86037815572683,59975
519.503042,-409.3229371540164,60057
519.490558,-409.78551838404076,60109
519.478074,-410.2481218473935,59932
519.46559,-410.7107475456772,60007
519.453106,-411.1733954805007,59983
519.440622,-411.63606565346873,60026
519.428138,-412.0987580661772,60063
519.415654,-412.5614727202328,59980
519.40317,-413.02420961724033,59992
519.390686,-413.4869687588065,60057
519.378202,-413.9497501465272,59970
519.365718,-414.41255378201356,59986
