Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59777
525.358038,-194.79536075947718,59848
525.345554,-195.24768859823178,59959
525.33307,-195.70003793519538,59953
525.320586,-196.15240877190544,60141
525.308102,-196.60480110989712,60082
525.295618,-197.0572149506927,60109
525.283134,-197.50965029583173,60129
525.27065,-197.96210714684943,60083
525.258166,-198.41458550527886,60001
525.245682,-198.86708537264877,59977
525.233198,-199.31960675049436,60001
525.220714,-199.77214964035304,60027
525.20823,-200.22471404376003,60005
525.195746,-200.6772999622419,60028
525.183262,-201.12990739733607,59975
525.170778,-201.58253635057773,59933
525.158294,-202.03518682350864,60032
525.14581,-202.48785881765102,59962
525.133326,-202.9405523345444,60066
525.120842,-203.39326737572623,59951
525.108358,-203.8460039427339,59921
525.095874,-204.29876203709608,59969
525.08339,-204.75154166035023,60017
525.070906,-205.20434281403158,59977
525.058422,-205.657165499684,59985
525.045938,-206.1100097188319,59992
525.033454,-206.5628754730148,60067
525.02097,-207.01576276377017,60011
525.008486,-207.4686715926397,60066
524.996002,-207.92160196115,59967
524.983518,-208.37455387084057,59993
524.971034,-208.82752732325102,60007
524.95855,-209.2805223199209,60049
524.946066,-209.73353886238107,60097
524.933582,-210.186576952169,59989
524.921098,-210.6396365908242,60058
524.908614,-211.09271777988843,59990
524.89613,-211.5458205208926,60013
524.883646,-211.99894481537407,59945
524.871162,-212.45209066487462,59974
524.858678,-212.90525807093158,59893
524.846194,-213.35844703508894,59949
524.83371,-213.81165755887318,60045
524.821226,-214.26488964382827,60092
524.808742,-214.7181432914937,60017
524.796258,-215.1714185034113,59997
524.783774,-215.62471528111405,59968
524.77129,-216.07803362614374,60045
524.758806,-216.53137354003772,60110
524.746322,-216.9847350243421,59989
524.733838,-217.43811808058777,60012
524.721354,-217.8915227103186,59995
524.70887,-218.3449489150742,60067
524.696386,-218.79839669639847,60012
524.683902,-219.2518660558223,60052
524.671418,-219.7053569948917,60037
524.658934,-220.15886951514634,60016
524.64645,-220.61240361813222,59982
524.633966,-221.06595930538026,59998
524.621482,-221.51953657843652,60034
524.608998,-221.9731354388406,59973
524.596514,-222.4267558881385,59982
524.58403,-222.88039792786336,59946
524.571546,-223.3340615595612,60032
524.559062,-223.78774678477382,60013
524.546578,-224.24145360504505,60033
524.534094,-224.69518202191014,60007
524.52161,-225.14893203691736,60013
524.509126,-225.6027036516041,60010
524.496642,-226.05649686752074,60004
524.484158,-226.51031168620037,60009
524.471674,-226.96414810918904,60066
524.45919,-227.41800613802852,60017
524.446706,-227.87188577426917,60038
524.434222,-228.3257870194441,59957
