Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59696
525.358038,-194.79536075947718,59782
525.345554,-195.24768859823178,59902
525.33307,-195.70003793519538,60025
525.320586,-196.15240877190544,60050
525.308102,-196.60480110989712,60055
525.295618,-197.0572149506927,60082
525.283134,-197.50965029583173,60100
525.27065,-197.96210714684943,59987
525.258166,-198.41458550527886,60018
525.245682,-198.86708537264877,60051
525.233198,-199.31960675049436,60057
525.220714,-199.77214964035304,60049
525.20823,-200.22471404376003,60012
525.195746,-200.6772999622419,59961
525.183262,-201.12990739733607,60025
525.170778,-201.58253635057773,60080
525.158294,-202.03518682350864,60001
525.14581,-202.48785881765102,60130
525.133326,-202.9405523345444,59994
525.120842,-203.39326737572623,60064
525.108358,-203.8460039427339,59995
525.095874,-204.29876203709608,60065
525.08339,-204.75154166035023,60022
525.070906,-205.20434281403158,60047
525.058422,-205.657165499684,59982
525.045938,-206.1100097188319,60054
525.033454,-206.5628754730148,59989
525.02097,-207.01576276377017,60003
525.008486,-207.4686715926397,60046
524.996002,-207.92160196115,60019
524.983518,-208.37455387084057,60013
524.971034,-208.82752732325102,60024
524.95855,-209.2805223199209,59950
524.946066,-209.73353886238107,59959
524.933582,-210.186576952169,60069
524.921098,-210.6396365908242,60007
524.908614,-211.09271777988843,60074
524.89613,-211.5458205208926,60039
524.883646,-211.99894481537407,60016
524.871162,-212.45209066487462,60010
524.858678,-212.90525807093158,59977
524.846194,-213.35844703508894,59951
524.83371,-213.81165755887318,60073
524.821226,-214.26488964382827,60053
524.808742,-214.7181432914937,59995
524.796258,-215.1714185034113,60013
524.783774,-215.62471528111405,60052
524.77129,-216.07803362614374,59962
524.758806,-216.53137354003772,59950
524.746322,-216.9847350243421,59984
524.733838,-217.43811808058777,59986
524.721354,-217.8915227103186,59887
524.70887,-218.3449489150742,59965
524.696386,-218.79839669639847,60039
524.683902,-219.2518660558223,60032
524.671418,-219.7053569948917,60035
524.658934,-220.15886951514634,60048
524.64645,-220.61240361813222,60002
524.633966,-221.06595930538026,59973
524.621482,-221.51953657843652,60024
524.608998,-221.9731354388406,59999
524.596514,-222.4267558881385,59916
524.58403,-222.88039792786336,59992
524.571546,-223.3340615595612,60054
524.559062,-223.78774678477382,59956
524.546578,-224.24145360504505,60067
524.534094,-224.69518202191014,60014
524.52161,-225.14893203691736,59966
