Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
539.370522,299.711749984161,59848
539.358038,299.28261946980194,59896
539.345554,298.85346908964556,59956
539.33307,298.4242988423105,60101
539.320586,297.99510872641775,60170
539.308102,297.5658987405816,60084
539.295618,297.1366688834295,60123
539.283134,296.7074191535823,60089
539.27065,296.2781495496544,60184
539.258166,295.8488600702646,60019
539.245682,295.41955071403805,60067
539.233198,294.9902214795935,60028
539.220714,294.56087236554754,60058
539.20823,294.1315033705167,60032
539.195746,293.7021144931262,60069
539.183262,293.2727057319948,60075
539.170778,292.843277085739,59969
539.158294,292.41382855297326,60092
539.14581,291.98436013232276,60060
539.133326,291.5548718224062,59983
539.120842,291.12536362183806,60089
539.108358,290.6958355292327,60060
539.095874,290.2662875432197,60091
539.08339,289.836719662409,60024
539.070906,289.4071318854216,60040
539.058422,288.97752421086756,60025
539.045938,288.5478966373764,60052
539.033454,288.11824916355823,60001
539.02097,287.68858178803174,60035
539.008486,287.2588945094113,59990
538.996002,286.82918732632,60033
538.983518,286.39946023737,59990
538.971034,285.9697132411823,60089
538.95855,285.5399463363648,59978
538.946066,285.11015952154474,60024
538.933582,284.68035279533444,60045
538.921098,284.2505261563483,59981
538.908614,283.8206796032007,60147
538.89613,283.3908131345147,59927
538.883646,282.9609267489025,60047
538.871162,282.53102044497854,60113
538.858678,282.10109422135935,60044
538.846194,281.6711480766571,59968
538.83371,281.24118200949493,60102
538.821226,280.81119601848286,60019
538.808742,280.38119010223744,60017
538.796258,279.95116425936874,60024
538.783774,279.52111848849984,60030
538.77129,279.09105278824296,59999
538.758806,278.6609671572102,60016
538.746322,278.23086159401396,60032
538.733838,277.8007360972751,59929
538.721354,277.3705906656035,59926
538.70887,276.94042529761595,60136
538.696386,276.51023999192023,60106
538.683902,276.0800347471372,60050
538.671418,275.6498095618791,60037
538.658934,275.2195644347582,59972
538.64645,274.7892993643867,60105
538.633966,274.35901434938114,60064
538.621482,273.92870938835154,59989
538.608998,273.49838447991453,59980
538.596514,273.068039622678,59977
538.58403,272.63767481525844,60008
538.571546,272.20729005627027,60078
538.559062,271.77688534432133,59966
538.546578,271.34646067802396,60019
538.534094,270.91601605599675,59941
538.52161,270.4855514768477,60012
538.509126,270.055066939189,59951
538.496642,269.6245624416284,60064
538.484158,269.19403798278483,60015
538.471674,268.7634935612682,59957
