Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59690
525.358038,-194.79536075947718,59769
525.345554,-195.24768859823178,59891
525.33307,-195.70003793519538,59935
525.320586,-196.15240877190544,59998
525.308102,-196.60480110989712,60060
525.295618,-197.0572149506927,60086
525.283134,-197.50965029583173,60064
525.27065,-197.96210714684943,60070
525.258166,-198.41458550527886,60073
525.245682,-198.86708537264877,60091
525.233198,-199.31960675049436,59993
525.220714,-199.77214964035304,60013
525.20823,-200.22471404376003,60070
525.195746,-200.6772999622419,60086
525.183262,-201.12990739733607,60008
525.170778,-201.58253635057773,60063
525.158294,-202.03518682350864,60046
525.14581,-202.48785881765102,60058
525.133326,-202.9405523345444,59984
525.120842,-203.39326737572623,60007
525.108358,-203.8460039427339,60010
525.095874,-204.29876203709608,60089
525.08339,-204.75154166035023,59979
525.070906,-205.20434281403158,60010
525.058422,-205.657165499684,59977
525.045938,-206.1100097188319,60144
525.033454,-206.5628754730148,60046
525.02097,-207.01576276377017,59944
525.008486,-207.4686715926397,59965
524.996002,-207.92160196115,60014
524.983518,-208.37455387084057,60041
524.971034,-208.82752732325102,59959
524.95855,-209.2805223199209,60046
524.946066,-209.73353886238107,59999
524.933582,-210.186576952169,60005
524.921098,-210.6396365908242,59970
524.908614,-211.09271777988843,59997
524.89613,-211.5458205208926,59962
524.883646,-211.99894481537407,59956
524.871162,-212.45209066487462,59946
524.858678,-212.90525807093158,59963
524.846194,-213.35844703508894,59917
524.83371,-213.81165755887318,59969
524.821226,-214.26488964382827,60046
524.808742,-214.7181432914937,59967
524.796258,-215.1714185034113,59968
524.783774,-215.62471528111405,59938
524.77129,-216.07803362614374,60035
524.758806,-216.53137354003772,60004
524.746322,-216.9847350243421,59907
524.733838,-217.43811808058777,60020
524.721354,-217.8915227103186,60028
524.70887,-218.3449489150742,59942
524.696386,-218.79839669639847,60053
524.683902,-219.2518660558223,60022
524.671418,-219.7053569948917,60040
524.658934,-220.15886951514634,60026
524.64645,-220.61240361813222,59954
524.633966,-221.06595930538026,59947
524.621482,-221.51953657843652,59980
524.608998,-221.9731354388406,60035
524.596514,-222.4267558881385,59991
524.58403,-222.88039792786336,60038
524.571546,-223.3340615595612,60035
524.559062,-223.78774678477382,60016
524.546578,-224.24145360504505,59996
524.534094,-224.69518202191014,60059
524.52161,-225.14893203691736,60019
524.509126,-225.6027036516041,60062
524.496642,-226.05649686752074,60003
524.484158,-226.51031168620037,59988
524.471674,-226.96414810918904,60016
524.45919,-227.41800613802852,60013
524.446706,-227.87188577426917,60045
524.434222,-228.3257870194441,59945
524.421738,-228.77970987510153,59913
524.409254,-229.23365434278105,60030
524.39677,-229.68762042403517,60035
524.384286,-230.14160812039702,60049
524.371802,-230.59561743341484,60036
524.359318,-231.04964836463031,59989
524.346834,-231.50370091559606,59993
524.33435,-231.9577750878451,60012
524.321866,-232.41187088292793,59902
524.309382,-232.86598830238617,60076
524.296898,-233.32012734776816,59989
524.284414,-233.7742880206199,60003
524.27193,-234.22847032247884,59924
524.259446,-234.68267425489535,60132
524.246962,-235.13689981941337,59982
524.234478,-235.59114701758327,60008
524.221994,-236.04541585094248,59948
524.20951,-236.49970632103924,60024
524.197026,-236.95401842942178,59935
524.184542,-237.40835217763833,59956
524.172058,-237.86270756722848,60004
524.159574,-238.31708459974044,60038
524.14709,-238.7714832767225,59983
524.134606,-239.22590359972503,59977
524.122122,-239.68034557028543,60036
524.109638,-240.13480918995845,59977
524.097154,-240.58929446028583,59990
524.08467,-241.04380138282232,60037
524.072186,-241.49832995910532,60016
524.059702,-241.9528801906874,59932
524.047218,-242.4074520791168,60003
524.034734,-242.86204562594392,60063
524.02225,-243.31666083271054,60004
524.009766,-243.771297700967,60033
523.997282,-244.2259562322616,59951
523.984798,-244.6806364281469,59979
523.972314,-245.13533829016242,60038
523.95983,-245.59006181986516,60076
523.947346,-246.04480701879896,59997
523.934862,-246.4995738885186,60018
523.922378,-246.95436243056577,59976
523.909894,-247.40917264649312,59942
523.89741,-247.8640045378488,60025
523.884926,-248.31885810618982,60060
523.872442,-248.7737333530535,59984
523.859958,-249.22863027999898,59974
523.847474,-249.68354888857013,59998
523.83499,-250.13848918032602,60013
523.822506,-250.59345115680628,60105
523.810022,-251.04843481956775,60046
523.797538,-251.5034401701587,59925
523.785054,-251.9584672101339,60072
523.77257,-252.41351594103722,59947
523.760086,-252.86858636442344,60000
523.747602,-253.3236784818451,59983
523.735118,-253.77879229485046,59927
523.722634,-254.23392780499861,59952
523.71015,-254.6890850138291,60063
523.697666,-255.14426392290102,59962
523.685182,-255.59946453376477,60065
523.672698,-256.0546868479773,60025
523.660214,-256.50993086708246,59936
523.64773,-256.96519659263504,60008
523.635246,-257.42048402618974,60022
523.622762,-257.8757931693035,60022
523.610278,-258.3311240235181,60008
523.597794,-258.7864765903947,60002
523.58531,-259.2418508714817,59946
523.572826,-259.6972468683423,59924
523.560342,-260.15266458251625,59963
523.547858,-260.6081040155625,60028
523.535374,-261.0635651690359,59938
523.52289,-261.51904804449543,59987
523.510406,-261.97455264348514,59978
523.497922,-262.43007896756177,59990
523.485438,-262.88562701828454,59942
523.472954,-263.34119679720595,59996
523.46047,-263.7967883058765,59976
523.447986,-264.25240154585515,60021
523.435502,-264.70803651869454,59999
523.423018,-265.16369322595375,59983
523.410534,-265.619371669181,59952
523.39805,-266.0750718499376,59980
523.385566,-266.53079376977394,59892
523.373082,-266.98653743025557,60054
523.360598,-267.4423028329264,60043
523.348114,-267.8980899793455,60014
523.33563,-268.35389887107203,59976
523.323146,-268.809729509665,59988
523.310662,-269.26558189667264,59996
523.298178,-269.7214560336541,60052
523.285694,-270.1773519221706,60026
523.27321,-270.6332695637768,59971
523.260726,-271.0892089600255,60066
523.248242,-271.5451701124777,60104
523.235758,-272.0011530226883,59971
523.223274,-272.45715769222284,60041
523.21079,-272.91318412262734,59990
523.198306,-273.3692323154632,59976
523.185822,-273.8253022722893,60032
523.173338,-274.28139399466926,60024
523.160854,-274.73750748415335,59985
523.14837,-275.19364274230077,60029
523.135886,-275.6497997706705,59958
523.123402,-276.10597857082377,59999
523.110918,-276.56217914432193,59902
523.098434,-277.0184014927153,60012
523.08595,-277.47464561756743,59961
523.073466,-277.9309115204373,60056
523.060982,-278.38719920288827,60083
523.048498,-278.84350866647304,60076
523.036014,-279.2998399127528,59978
523.02353,-279.75619294328885,60003
523.011046,-280.21256775964673,60101
522.998562,-280.6689643633747,60149
522.986078,-281.12538275604055,59959
522.973594,-281.5818229392033,60078
522.96111,-282.03828491442636,60030
522.948626,-282.4947686832645,60009
522.936142,-282.951274247279,60069
522.923658,-283.4078016080354,60029
522.911174,-283.8643507670972,60059
522.89869,-284.32092172601693,59951
522.886206,-284.77751448636013,60048
522.873722,-285.23412904968814,60017
522.861238,-285.69076541756647,59916
522.848754,-286.1474235915499,60036
522.83627,-286.6041035732062,59969
522.823786,-287.0608053640923,60019
522.811302,-287.5175289657802,60019
522.798818,-287.9742743798204,60055
522.786334,-288.4310416077828,60040
522.77385,-288.8878306512286,60018
522.761366,-289.34464151172347,59983
522.748882,-289.80147419082215,60070
522.736398,-290.2583286900945,60042
522.723914,-290.715205011104,60038
522.71143,-291.17210315541405,59959
522.698946,-291.62902312458584,59986
522.686462,-292.0859649201829,60022
522.673978,-292.54292854377076,59934
522.661494,-292.99991399691714,59981
