Wavelength(nm), Raman shift(cm^-1), Intensity(arb) 
525.370522,-194.34305441739858,59714
525.358038,-194.79536075947718,59810
525.345554,-195.24768859823178,59913
525.33307,-195.70003793519538,59994
525.320586,-196.15240877190544,60005
525.308102,-196.60480110989712,60067
525.295618,-197.0572149506927,60095
525.283134,-197.50965029583173,60062
525.27065,-197.96210714684943,60025
525.258166,-198.41458550527886,60062
525.245682,-198.86708537264877,60052
525.233198,-199.31960675049436,59998
525.220714,-199.77214964035304,59999
525.20823,-200.22471404376003,59998
525.195746,-200.6772999622419,59936
525.183262,-201.12990739733607,60054
525.170778,-201.58253635057773,60077
525.158294,-202.03518682350864,60030
525.14581,-202.48785881765102,59997
525.133326,-202.9405523345444,60090
525.120842,-203.39326737572623,60004
525.108358,-203.8460039427339,60024
525.095874,-204.29876203709608,60011
525.08339,-204.75154166035023,60001
525.070906,-205.20434281403158,60011
525.058422,-205.657165499684,59930
525.045938,-206.1100097188319,59949
525.033454,-206.5628754730148,59931
525.02097,-207.01576276377017,59974
525.008486,-207.4686715926397,60003
524.996002,-207.92160196115,59955
524.983518,-208.37455387084057,60039
524.971034,-208.82752732325102,59930
524.95855,-209.2805223199209,59940
524.946066,-209.73353886238107,60070
524.933582,-210.186576952169,60013
524.921098,-210.6396365908242,59987
524.908614,-211.09271777988843,60072
524.89613,-211.5458205208926,60066
524.883646,-211.99894481537407,60043
524.871162,-212.45209066487462,60059
524.858678,-212.90525807093158,60034
524.846194,-213.35844703508894,60031
524.83371,-213.81165755887318,59979
524.821226,-214.26488964382827,60077
524.808742,-214.7181432914937,59969
524.796258,-215.1714185034113,60074
524.783774,-215.62471528111405,59943
524.77129,-216.07803362614374,59974
524.758806,-216.53137354003772,59998
524.746322,-216.9847350243421,60039
524.733838,-217.43811808058777,59958
524.721354,-217.8915227103186,60028
524.70887,-218.3449489150742,59951
524.696386,-218.79839669639847,60094
524.683902,-219.2518660558223,60013
524.671418,-219.7053569948917,59901
524.658934,-220.15886951514634,60038
524.64645,-220.61240361813222,59946
524.633966,-221.06595930538026,59979
524.621482,-221.51953657843652,59958
524.608998,-221.9731354388406,60053
524.596514,-222.4267558881385,60045
524.58403,-222.88039792786336,60102
524.571546,-223.3340615595612,60050
524.559062,-223.78774678477382,60084
524.546578,-224.24145360504505,60058
524.534094,-224.69518202191014,59961
524.52161,-225.14893203691736,59960
524.509126,-225.6027036516041,60021
524.496642,-226.05649686752074,59994
524.484158,-226.51031168620037,60041
524.471674,-226.96414810918904,59955
524.45919,-227.41800613802852,59989
524.446706,-227.87188577426917,60008
524.434222,-228.3257870194441,59935
524.421738,-228.77970987510153,60025
524.409254,-229.23365434278105,59999
524.39677,-229.68762042403517,60021
524.384286,-230.14160812039702,59990
524.371802,-230.59561743341484,60025
524.359318,-231.04964836463031,60058
524.346834,-231.50370091559606,60024
524.33435,-231.9577750878451,60044
524.321866,-232.41187088292793,59999
524.309382,-232.86598830238617,60077
524.296898,-233.32012734776816,60031
524.284414,-233.7742880206199,60027
524.27193,-234.22847032247884,59960
524.259446,-234.68267425489535,60092
524.246962,-235.13689981941337,60062
524.234478,-235.59114701758327,59998
524.221994,-236.04541585094248,60023
524.20951,-236.49970632103924,60026
524.197026,-236.95401842942178,60052
524.184542,-237.40835217763833,60095
524.172058,-237.86270756722848,59955
524.159574,-238.31708459974044,59993
524.14709,-238.7714832767225,59929
524.134606,-239.22590359972503,60033
524.122122,-239.68034557028543,59931
524.109638,-240.13480918995845,60004
524.097154,-240.58929446028583,59989
524.08467,-241.04380138282232,60013
524.072186,-241.49832995910532,59994
524.059702,-241.9528801906874,60085
524.047218,-242.4074520791168,59985
524.034734,-242.86204562594392,60048
524.02225,-243.31666083271054,60033
524.009766,-243.771297700967,59996
523.997282,-244.2259562322616,59984
523.984798,-244.6806364281469,59966
523.972314,-245.13533829016242,59996
523.95983,-245.59006181986516,60053
523.947346,-246.04480701879896,59999
523.934862,-246.4995738885186,60005
523.922378,-246.95436243056577,60007
523.909894,-247.40917264649312,60038
523.89741,-247.8640045378488,59998
523.884926,-248.31885810618982,59966
523.872442,-248.7737333530535,60043
523.859958,-249.22863027999898,59938
523.847474,-249.68354888857013,60075
523.83499,-250.13848918032602,59954
523.822506,-250.59345115680628,59984
523.810022,-251.04843481956775,59898
523.797538,-251.5034401701587,60036
523.785054,-251.9584672101339,59997
523.77257,-252.41351594103722,60012
523.760086,-252.86858636442344,59975
523.747602,-253.3236784818451,59957
523.735118,-253.77879229485046,60061
523.722634,-254.23392780499861,60005
523.71015,-254.6890850138291,60074
523.697666,-255.14426392290102,59936
523.685182,-255.59946453376477,60051
523.672698,-256.0546868479773,60010
523.660214,-256.50993086708246,60001
523.64773,-256.96519659263504,59998
523.635246,-257.42048402618974,59957
523.622762,-257.8757931693035,60005
523.610278,-258.3311240235181,59946
523.597794,-258.7864765903947,59986
523.58531,-259.2418508714817,60042
523.572826,-259.6972468683423,59986
523.560342,-260.15266458251625,60021
523.547858,-260.6081040155625,60003
523.535374,-261.0635651690359,59994
523.52289,-261.51904804449543,60090
523.510406,-261.97455264348514,60057
523.497922,-262.43007896756177,59990
523.485438,-262.88562701828454,59983
523.472954,-263.34119679720595,59965
523.46047,-263.7967883058765,60018
523.447986,-264.25240154585515,59984
523.435502,-264.70803651869454,60108
523.423018,-265.16369322595375,59914
523.410534,-265.619371669181,60043
523.39805,-266.0750718499376,60013
523.385566,-266.53079376977394,59946
523.373082,-266.98653743025557,59948
523.360598,-267.4423028329264,60034
523.348114,-267.8980899793455,59977
523.33563,-268.35389887107203,60018
523.323146,-268.809729509665,60048
523.310662,-269.26558189667264,60016
523.298178,-269.7214560336541,60051
523.285694,-270.1773519221706,60004
523.27321,-270.6332695637768,60059
523.260726,-271.0892089600255,60018
523.248242,-271.5451701124777,60147
523.235758,-272.0011530226883,60020
523.223274,-272.45715769222284,60068
523.21079,-272.91318412262734,59987
523.198306,-273.3692323154632,60008
523.185822,-273.8253022722893,60052
523.173338,-274.28139399466926,60090
523.160854,-274.73750748415335,60039
523.14837,-275.19364274230077,60059
523.135886,-275.6497997706705,60033
523.123402,-276.10597857082377,60039
523.110918,-276.56217914432193,60062
523.098434,-277.0184014927153,60011
523.08595,-277.47464561756743,60060
523.073466,-277.9309115204373,60108
523.060982,-278.38719920288827,60075
523.048498,-278.84350866647304,60124
523.036014,-279.2998399127528,60055
523.02353,-279.75619294328885,60112
523.011046,-280.21256775964673,60075
522.998562,-280.6689643633747,60097
522.986078,-281.12538275604055,60105
522.973594,-281.5818229392033,60018
522.96111,-282.03828491442636,60195
522.948626,-282.4947686832645,60005
522.936142,-282.951274247279,60182
522.923658,-283.4078016080354,60191
522.911174,-283.8643507670972,60096
522.89869,-284.32092172601693,60057
522.886206,-284.77751448636013,60135
522.873722,-285.23412904968814,60108
522.861238,-285.69076541756647,60123
522.848754,-286.1474235915499,60184
522.83627,-286.6041035732062,60119
522.823786,-287.0608053640923,60118
522.811302,-287.5175289657802,60141
522.798818,-287.9742743798204,60105
522.786334,-288.4310416077828,60084
522.77385,-288.8878306512286,60059
522.761366,-289.34464151172347,60169
522.748882,-289.80147419082215,60175
522.736398,-290.2583286900945,60125
522.723914,-290.715205011104,60137
522.71143,-291.17210315541405,60116
522.698946,-291.62902312458584,60044
522.686462,-292.0859649201829,60118
522.673978,-292.54292854377076,60061
522.661494,-292.99991399691714,60184
522.64901,-293.45692128117906,60112
522.636526,-293.91395039812414,60079
522.624042,-294.3710013493181,60140
522.611558,-294.8280741363286,60138
522.599074,-295.2851687607126,60176
522.58659,-295.74228522404,60151
522.574106,-296.1994235278743,60203
522.5616219999999,-296.65658367378524,60156
522.549138,-297.1137656633321,60166
522.536654,-297.57096949808255,60150
522.52417,-298.02819517960216,60106
522.511686,-298.48544270945877,60117
522.499202,-298.9427120892222,60161
522.486718,-299.40000332044724,60126
522.474234,-299.8573164047082,60159
522.46175,-300.3146513435705,60178
522.449266,-300.7720081386043,60155
522.436782,-301.22938679136854,60106
522.424298,-301.68678730343316,60217
522.411814,-302.1442096763681,60064
522.39933,-302.60165391174115,60123
522.386846,-303.0591200111157,60110
522.374362,-303.51660797605945,60129
522.361878,-303.97411780814025,60205
522.349394,-304.43164950893447,60076
