U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.2 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.5 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.6 
300,0V;201,3V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6506.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.0 
300,0V;201,2V;0,100A;0,100A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6507.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.7 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.8 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6508.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.7 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.8 
300,0V;201,2V;0,100A;0,102A;100W;20W;N/A;N/A;N/A;On;CC;None;6509.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.3 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.4 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.5 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.6 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.7 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.8 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6510.9 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.0 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.1 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.2 
300,0V;201,2V;0,100A;0,101A;100W;20W;N/A;N/A;N/A;On;CC;None;6511.3 
