U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
15,0V;14,9V;0,500A;0,008A;100W;0W;N/A;N/A;N/A;On;CV;None;6.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.2 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.5 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;6.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.6 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.7 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;7.9 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.1 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.2 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.3 
15,0V;15,0V;0,500A;0,008A;100W;0W;N/A;N/A;N/A;On;CV;None;8.4 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.5 
15,0V;15,0V;0,500A;0,007A;100W;0W;N/A;N/A;N/A;On;CV;None;8.6 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.8 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;8.9 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.0 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.1 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.2 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.3 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.4 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.5 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.6 
15,0V;14,9V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.7 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.8 
15,0V;15,0V;0,500A;0,000A;100W;0W;N/A;N/A;N/A;On;CV;None;9.9 
