U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.0 
50.0V;23.3V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.1 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.2 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.3 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.4 
50.0V;23.3V;0.150A;0.153A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.5 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.6 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.7 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.8 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13006.9 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.0 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.1 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.2 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.3 
50.0V;23.3V;0.150A;0.149A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.4 
50.0V;23.3V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.5 
50.0V;23.3V;0.150A;0.150A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.6 
50.0V;23.3V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.7 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.8 
50.0V;23.3V;0.150A;0.151A;100W;3W;N/A;N/A;N/A;On;CC;None;13007.9 
50.0V;23.2V;0.150A;0.152A;100W;3W;N/A;N/A;N/A;On;CC;None;13008.0 
