U set;U actual;I set;I actual;P set;P actual;R set;R actual;R mode;Output/Input;Device mode;Error;Time
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13012.4 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13012.5 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13012.6 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13012.7 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13012.8 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13012.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.0 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.1 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.2 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.3 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.4 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.5 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.6 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.7 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.8 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13013.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.0 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.2 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.3 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.4 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.5 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.6 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.7 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.8 
50.0V;8.6V;0.300A;0.298A;100W;0W;N/A;N/A;N/A;On;CC;None;13014.9 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.0 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.2 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.3 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.4 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.5 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.6 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.7 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.8 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13015.9 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.0 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.1 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.2 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.3 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.4 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.5 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.6 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.7 
50.0V;8.6V;0.300A;0.298A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.8 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13016.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.0 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.2 
50.0V;8.6V;0.300A;0.298A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.3 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.4 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.5 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.6 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.7 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.8 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13017.9 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.0 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.1 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.2 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.3 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.4 
50.0V;8.6V;0.300A;0.300A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.5 
50.0V;8.6V;0.300A;0.302A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.6 
50.0V;8.6V;0.300A;0.299A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.7 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.8 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13018.9 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.0 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.1 
50.0V;8.6V;0.300A;0.304A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.2 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.3 
50.0V;8.6V;0.300A;0.303A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.4 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.5 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.6 
50.0V;8.6V;0.300A;0.301A;100W;0W;N/A;N/A;N/A;On;CC;None;13019.7 
