Current (mA),calculated Temp (K),Temp err,Stokes Phonon width,Stokes width err,AS Phonon width,AS width err,Stokes phonon pos (w0),Stokes w0 err,AS phonon pos (w0),AS w0 err
0,293.3231795287591,0.7302245212253654,3.7116328296434298,0.0114058774935863,3.7876112783236016,0.018467963972319923,521.0289188512569,0.003857151750756288,520.7920802392018,0.006240234707442078
150,626.6573729094391,1.5555159293893268,6.762870069157047,0.010095765515538887,6.7344400198600125,0.017825996497165902,512.9351896595477,0.003317719752260549,512.9192783277892,0.005859657397356398
300,704.6518037630342,1.9481197300394473,7.696366246729869,0.012809895887210645,7.760303544381488,0.019638523366250125,510.87928518494385,0.004173862049650614,510.52094187706126,0.006395989766835572
450,760.797777628691,2.211165063370882,8.439375710537666,0.013905295917982173,8.34882081959164,0.02086684029825972,509.199324503971,0.0045004284792737916,509.2169255353052,0.0067598873432479015
600,799.7183105203491,2.4416251516219547,8.819693172075752,0.015385218845476709,8.747337659172493,0.021367495818107058,508.3852153077416,0.0049621188731630165,508.4720339612917,0.006896454714154779
750,853.5580639812656,3.0690662081289695,9.528415890287462,0.019662466936564954,9.393148544193002,0.024519336820391615,506.9995599514129,0.006299977254715985,507.14740106428104,0.007866835502194006
