Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
702.1200395,661.8835812830176,59668
702.1094205,661.6681704937357,59871
702.0988015,661.4527531884247,59972
702.0881825,661.2373293667898,60051
702.0775635,661.0218990285404,60079
702.0669445,660.8064621733749,60043
702.0563255,660.591018801001,60049
702.0457065,660.3755689111256,59985
702.0350875,660.1601125034452,59992
702.0244685,659.9446495776695,60056
702.0138495,659.7291801335009,59935
702.0032305,659.513704170645,59959
701.9926115,659.2982216888066,60036
701.9819925,659.0827326876888,59881
701.9713735,658.8672371669944,60056
701.9607545,658.6517351264264,59981
701.9501355,658.4362265656921,60040
701.9395165,658.2207114844965,59979
701.9288975,658.0051898825404,60031
701.9182785,657.7896617595311,60008
701.9076595,657.5741271151693,59947
701.8970405,657.3585859491579,60029
701.8864215,657.1430382612065,60031
701.8758025,656.9274840510135,60066
701.8651835,656.7119233182885,59965
701.8545645,656.4963560627322,59999
701.8439455,656.2807822840474,60020
701.8333265,656.0652019819372,59926
701.8227075,655.849615156111,60083
701.8120885,655.6340218062672,59956
701.8014695,655.4184219321135,60021
701.7908505,655.2028155333502,59988
701.7802315,654.9872026096826,60057
701.7696125,654.7715831608158,59964
701.7589935,654.5559571864505,60013
701.7483745,654.3403246862941,60037
701.7377555,654.1246856600494,60037
701.7271365,653.9090401074194,59963
701.7165175,653.6933880281069,60000
701.7058985,653.4777294218151,59979
701.6952795,653.2620642882508,59969
701.6846605,653.0463926271153,60003
701.6740415,652.8307144381155,60032
701.6634225,652.6150297209501,59967
701.6528035,652.3993384753243,60022
701.6421845,652.1836407009451,60005
701.6315655,651.9679363975115,59983
701.6209465,651.7522255647282,59948
701.6103275,651.5365082023026,59877
701.5997085,651.3207843099311,60082
701.5890895,651.1050538873234,60002
701.5784705,650.8893169341799,59923
701.5678515,650.6735734502058,59989
701.5572325,650.4578234351062,59963
701.5466135,650.2420668885777,59991
701.5359945,650.0263038103295,59941
701.5253755,649.8105342000624,59949
701.5147565,649.5947580574817,59968
701.5041375,649.37897538229,60011
701.4935185,649.1631861741927,59948
701.4828995,648.9473904328883,59994
701.4722805,648.7315881580818,59957
701.4616615,648.5157793494783,60024
701.4510425,648.2999640067808,60005
701.4404235,648.0841421296923,59907
701.4298045,647.8683137179178,59991
701.4191855,647.6524787711537,59987
701.4085665,647.4366372891116,60007
701.3979475,647.220789271488,59975
701.3873285,647.0049347179902,60008
701.3767095,646.7890736283188,59994
701.3660905,646.5732060021833,59974
701.3554715,646.3573318392758,60026
701.3448525,646.1414511393081,59971
701.3342335,645.9255639019806,59992
701.3236145,645.7096701269942,59970
701.3129954999999,645.4937698140562,59978
701.3023765,645.2778629628675,59965
701.2917575,645.0619495731286,59989
701.2811385,644.8460296445469,59980
701.2705195,644.6301031768232,59950
701.2599005,644.4141701696582,60023
701.2492815,644.1982306227612,59978
701.2386625,643.9822845358289,59985
701.2280435,643.7663319085663,60046
701.2174245,643.5503727406762,60024
701.2068055,643.3344070318593,59951
701.1961865,643.1184347818232,60009
701.1855675,642.9024559902706,59904
701.1749485,642.686470656898,59991
701.1643295,642.4704787814126,59978
701.1537105,642.2544803635172,60054
701.1430915,642.0384754029151,59986
701.1324725,641.8224638993046,60012
701.1218535,641.6064458523974,59990
701.1112345,641.3904212618855,60039
701.1006155,641.1743901274785,59999
701.0899965,640.958352448877,59958
701.0793775,640.7423082257818,60081
701.0687585,640.526257457898,59998
701.0581395,640.3102001449308,59982
701.0475205,640.0941362865788,59983
701.0369015,639.8780658825425,60044
701.0262825,639.6619889325293,60011
701.0156635,639.4459054362379,59937
701.0050445,639.2298153933776,60029
700.9944255,639.0137188036407,59963
700.9838065,638.7976156667363,59956
700.9731875,638.5815059823655,60033
700.9625685,638.3653897502309,59937
700.9519495,638.1492669700335,60030
700.9413305,637.9331376414805,60009
700.9307115,637.7170017642683,59986
700.9200925,637.500859338102,60012
700.9094735,637.2847103626824,59955
700.8988545,637.0685548377146,59936
700.8882355,636.8523927628971,59950
700.8776165,636.6362241379372,60051
700.8669975,636.4200489625337,60001
700.8563785,636.2038672363891,60096
700.8457595,635.9876789592046,60005
700.8351405,635.771484130685,60049
700.8245215,635.5552827505312,60036
700.8139025,635.3390748184482,60028
700.8032835,635.1228603341326,59986
700.7926645,634.9066392972915,59980
700.7820455,634.6904117076235,59938
700.7714265,634.4741775648316,59984
700.7608075,634.257936868621,59968
700.7501885,634.0416896186899,59966
700.7395695,633.8254358147395,60011
700.7289505,633.6091754564768,60023
700.7183315,633.3929085436006,60005
700.7077125,633.1766350758114,60070
700.6970935,632.9603550528167,59961
700.6864745,632.7440684743128,59979
700.6758555,632.5277753400048,60003
700.6652365,632.3114756495935,59915
700.6546175,632.0951694027796,60044
700.6439985,631.8788565992661,59974
700.6333795,631.6625372387581,59942
700.6227605,631.446211320952,60019
700.6121415,631.2298788455529,60007
700.6015225,631.0135398122615,59908
700.5909035,630.7971942207786,59971
700.5802845,630.5808420708092,59948
700.5696655,630.3644833620543,59961
