Wavelength(nm), Raman shift(cm^-1), Intensity(counts) 
552.1200395,727.8391580200398,59794
552.1094205,727.490800690254,59852
552.0988015,727.1424299599419,59943
552.0881825,726.7940458283314,59968
552.0775635,726.4456482946506,60082
552.0669445,726.0972373581255,60020
552.0563255,725.7488130179863,60162
552.0457065,725.4003752734587,60086
552.0350875,725.0519241237623,60029
552.0244685,724.7034595681315,60056
552.0138495,724.354981605788,60025
552.0032305,724.0064902359596,59967
551.9926115,723.6579854578723,59966
551.9819925,723.3094672707565,60060
551.9713735,722.9609356738291,60005
551.9607545,722.6123906663228,59952
551.9501355,722.2638322474631,60003
551.9395165,721.915260416474,60035
551.9288975,721.5666751725813,60100
551.9182785,721.2180765150174,59954
551.9076595,720.8694644429974,60035
551.8970405,720.5208389557513,60139
551.8864215,720.1722000525074,60032
551.8758025,719.8235477324871,60038
551.8651835,719.4748819949206,60046
551.8545645,719.1262028390338,60114
551.8439455,718.7775102640439,60039
551.8333265,718.4288042691835,60020
551.8227075,718.0800848536738,60005
551.8120885,717.7313520167431,60023
551.8014695,717.3826057576193,60030
551.7908505,717.0338460755197,59967
551.7802315,716.6850729696723,60017
551.7696125,716.3362864393051,59989
551.7589935,715.9874864836398,59967
551.7483745,715.6386731019021,59996
551.7377555,715.2898462933224,60094
551.7271365,714.9410060571155,59981
551.7165175,714.5921523925097,60003
551.7058985,714.2432852987306,60129
551.6952795,713.8944047750044,60021
551.6846605,713.5455108205524,60026
551.6740415,713.196603434605,59915
551.6634225,712.8476826163792,60038
551.6528035,712.498748365101,59960
551.6421845,712.1498006799962,59981
551.6315655,711.8008395602888,60116
551.6209465,711.4518650052021,59992
551.6103275,711.1028770139644,59946
551.5997085,710.7538755857928,59956
551.5890895,710.4048607199155,59927
551.5784705,710.055832415556,60007
551.5678515,709.706790671936,59985
551.5572325,709.3577354882856,59942
551.5466135,709.0086668638199,59979
551.5359945,708.6595847977649,59994
551.5253755,708.3104892893484,60014
551.5147565,707.9613803377899,59976
551.5041375,707.6122579423153,59996
551.4935185,707.2631221021484,59987
551.4828995,706.9139728165105,59953
551.4722805,706.5648100846233,60022
551.4616615,706.2156339057127,59949
551.4510425,705.8664442790024,60000
551.4404235,705.5172412037139,60033
551.4298045,705.1680246790751,59916
551.4191855,704.8187947043014,60057
551.4085665,704.4695512786184,59982
551.3979475,704.1202944012498,60011
551.3873285,703.7710240714173,60038
551.3767095,703.4217402883468,60025
551.3660905,703.0724430512596,60033
551.3554715,702.7231323593775,59984
551.3448525,702.3738082119197,59987
551.3342335,702.0244706081144,60023
551.3236145,701.6751195471809,59950
551.3129954999999,701.325755028345,59959
551.3023765,700.9763770508283,59927
551.2917575,700.6269856138459,59994
551.2811385,700.277580716628,60016
551.2705195,699.9281623583939,60012
551.2599005,699.5787305383652,59996
551.2492815,699.2292852557699,60040
551.2386625,698.879826509821,59944
551.2280435,698.530354299742,59993
551.2174245,698.180868624759,60000
551.2068055,697.8313694840912,60059
551.1961865,697.4818568769603,59995
551.1855675,697.1323308025941,60001
551.1749485,696.7827912602036,60011
551.1643295,696.4332382490167,59922
551.1537105,696.0836717682527,59971
551.1430915,695.7340918171333,60020
551.1324725,695.384498394882,59979
551.1218535,695.0348915007228,59947
551.1112345,694.6852711338684,60044
551.1006155,694.3356372935447,60074
551.0899965,693.985989978971,59994
551.0793775,693.6363291893712,59966
551.0687585,693.2866549239666,60045
551.0581395,692.936967181979,60016
551.0475205,692.5872659626232,60061
551.0369015,692.237551265123,60010
551.0262825,691.8878230887001,60030
551.0156635,691.5380814325757,60039
551.0050445,691.1883262959739,59971
550.9944255,690.8385576781073,60009
550.9838065,690.4887755781997,59944
550.9731875,690.1389799954727,59994
550.9625685,689.7891709291476,60040
550.9519495,689.439348378442,59927
550.9413305,689.0895123425815,59964
550.9307115,688.7396628207769,60109
550.9200925,688.3897998122561,60057
550.9094735,688.0399233162365,60042
550.8988545,687.6900333319395,60009
550.8882355,687.3401298585825,59953
550.8776165,686.9902128953934,60048
550.8669975,686.6402824415807,59999
550.8563785,686.2903384963681,59999
550.8457595,685.9403810589794,59964
550.8351405,685.5904101286296,59999
550.8245215,685.2404257045404,60011
550.8139025,684.8904277859352,60101
550.8032835,684.5404163720272,59976
550.7926645,684.1903914620354,59965
550.7820455,683.8403530551839,59953
550.7714265,683.4903011506896,60020
550.7608075,683.1402357477764,60000
550.7501885,682.7901568456549,60068
550.7395695,682.440064443551,59994
550.7289505,682.0899585406798,60029
550.7183315,681.7398391362607,59979
550.7077125,681.3897062295173,59971
550.6970935,681.0395598196668,59861
550.6864745,680.6893999059221,60013
550.6758555,680.3392264875091,60024
550.6652365,679.9890395636407,60031
550.6546175,679.6388391335406,59998
550.6439985,679.288625196426,59962
550.6333795,678.9383977515183,60027
550.6227605,678.5881567980285,59961
550.6121415,678.23790233518,59989
550.6015225,677.887634362188,60014
550.5909035,677.5373528782762,59983
550.5802845,677.1870578826575,59976
550.5696655,676.8367493745577,59963
550.5590465,676.4864273531854,59931
550.5484275,676.1360918177621,59978
550.5378085,675.7857427675071,60049
550.5271895,675.4353802016378,59927
550.5165705,675.0850041193735,59952
550.5059515,674.7346145199334,59968
550.4953325,674.3842114025284,59997
550.4847135,674.03379476638,60056
550.4740945,673.6833646107075,59986
550.4634755,673.3329209347261,60010
550.4528565,672.9824637376593,60023
550.4422375,672.6319930187136,60015
550.4316185,672.2815087771149,60037
550.4209995,671.9310110120759,60074
550.4103805,671.5804997228184,60063
550.3997615,671.2299749085552,60065
550.3891425,670.8794365685097,59967
550.3785235,670.528884701893,60009
550.3679045,670.1783193079222,60037
550.3572855,669.8277403858165,59971
550.3466665,669.4771479347933,59975
550.3360475,669.1265419540675,59982
550.3254285,668.7759224428607,60040
550.3148095,668.4252894003815,59995
550.3041905,668.0746428258515,60080
550.2935715,667.7239827184876,59976
550.2829525,667.373309077505,60004
550.2723335,667.0226219021212,59969
550.2617145,666.671921191555,59946
550.2510955,666.3212069450154,60024
550.2404765,665.9704791617261,60037
550.2298575,665.6197378408974,59999
550.2192385,665.2689829817513,59981
550.2086195,664.9182145835025,60071
550.1980005,664.567432645364,60025
550.1873815,664.216637166553,59980
550.1767625,663.8658281462868,59992
550.1661435,663.5150055837781,59945
550.1555245,663.1641694782464,59937
550.1449055,662.8133198289112,59983
550.1342865,662.4624566349785,60008
550.1236675,662.11157989567,59924
550.1130485,661.7606896101987,60031
550.1024295,661.4097857777817,59996
550.0918105,661.0588683976341,59917
550.0811915,660.7079374689753,60020
550.0705725,660.3569929910136,59969
550.0599535,660.0060349629664,59996
550.0493345,659.6550633840509,60082
550.0387155,659.3040782534821,59942
550.0280965,658.9530795704729,60082
550.0174775,658.6020673342426,59956
550.0068585,658.2510415440021,59961
549.9962395,657.9000021989661,59979
549.9856205,657.5489492983521,60038
549.9750015,657.1978828413729,60019
549.9643825,656.8468028272479,59974
549.9537635,656.4957092551832,60006
549.9431445,656.1446021243985,60047
549.9325255,655.7934814341087,60022
549.9219065,655.4423471835289,59977
549.9112875,655.0911993718697,59978
549.9006685,654.7400379983527,60016
549.8900495,654.3888630621843,60051
549.8794305,654.0376745625816,60009
549.8688115,653.6864724987598,60049
549.8581925,653.3352568699338,59972
549.8475735,652.9840276753145,60051
549.8369545,652.6327849141209,59995
549.8263355,652.2815285855618,60002
549.8157165,651.9302586888523,59945
549.8050975,651.578975223205,59987
549.7944785,651.2276781878395,60034
549.7838595,650.8763675819622,59975
549.7732405,650.5250434047965,59982
549.7626215,650.1737056555448,60012
549.7520025,649.8223543334263,59936
549.7413835,649.4709894376517,59942
549.7307645,649.1196109674382,59997
549.7201455,648.7682189219965,60021
549.7095265,648.416813300546,60045
549.6989075,648.0653941022888,59979
549.6882885,647.7139613264462,60084
549.6776695,647.362514972227,59984
549.6670505,647.0110550388483,59993
549.6564315,646.659581525523,60044
549.6458125,646.3080944314596,59996
549.6351935,645.9565937558709,59966
549.6245745,645.6050794979742,60063
549.6139555,645.2535516569802,59972
549.6033365,644.9020102321018,59976
549.5927175,644.5504552225539,59991
549.5820985,644.1988866275451,60086
549.5714795,643.8473044462884,60027
549.5608605,643.4957086779965,59960
549.5502415,643.1440993218823,60036
549.5396225,642.7924763771588,60017
549.5290035,642.4408398430429,60021
549.5183845,642.0891897187348,59977
549.5077655,641.737526003456,59949
549.4971465,641.3858486964148,60062
549.4865275,641.0341577968263,60038
549.4759085,640.6824533038971,60013
549.4652895,640.3307352168484,59966
549.4546705,639.9790035348826,60038
549.4440515,639.6272582572145,59973
549.4334325,639.275499383057,59957
549.4228135,638.9237269116207,60047
549.4121945,638.5719408421209,60007
549.4015755,638.2201411737637,60042
549.3909565,637.86832790576,59981
549.3803375,637.5165010373248,60008
549.3697185,637.1646605676708,59936
549.3590995,636.8128064960046,59971
549.3484805,636.4609388215432,59981
549.3378615,636.109057543491,59983
549.3272425,635.7571626610628,59988
549.3166235,635.4052541734695,60006
549.3060045,635.0533320799195,60028
549.2953855,634.701396379628,59972
549.2847665,634.3494470718077,60013
